vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,申万计算机行业成分股,1,行业成分股,,,"|股票名称|股票代码|行业名称|行业级别|行业类别|
|云眼视界|874515|计算机|一级行业|申万行业分类|
|原力数字|874552|计算机|一级行业|申万行业分类|
|中水三立|874589|计算机|一级行业|申万行业分类|
|北方实验|874611|计算机|一级行业|申万行业分类|
|鑫巨宏|874885|计算机|一级行业|申万行业分类|
|觅睿科技|920036|计算机|一级行业|申万行业分类|
|*ST同辉|920090|计算机|一级行业|申万行业分类|
|汉鑫科技|920092|计算机|一级行业|申万行业分类|
|星图测控|920116|计算机|一级行业|申万行业分类|
|立方控股|920130|计算机|一级行业|申万行业分类|
|志晟信息|920171|计算机|一级行业|申万行业分类|
|国源科技|920184|计算机|一级行业|申万行业分类|
|雷神科技|920190|计算机|一级行业|申万行业分类|
|微创光电|920198|计算机|一级行业|申万行业分类|
|众诚科技|920207|计算机|一级行业|申万行业分类|
|美登科技|920227|计算机|一级行业|申万行业分类|
|恒拓开源|920415|计算机|一级行业|申万行业分类|
|并行科技|920493|计算机|一级行业|申万行业分类|
|天润科技|920564|计算机|一级行业|申万行业分类|
|华信永道|920592|计算机|一级行业|申万行业分类|
|路桥信息|920748|计算机|一级行业|申万行业分类|
|联迪信息|920790|计算机|一级行业|申万行业分类|
|艾融软件|920799|计算机|一级行业|申万行业分类|
|云星宇|920806|计算机|一级行业|申万行业分类|
|曙光数创|920808|计算机|一级行业|申万行业分类|
|科达自控|920932|计算机|一级行业|申万行业分类|
|国子软件|920953|计算机|一级行业|申万行业分类|
|视声智能|920976|计算机|一级行业|申万行业分类|",2026-09-13T09:01:03.144568+08:00
