vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,申万机械设备行业成分股,1,行业成分股,,,"|股票名称|股票代码|行业名称|行业级别|行业类别|
|迈拓股份|301006|机械设备|一级行业|申万行业分类|
|利和兴|301013|机械设备|一级行业|申万行业分类|
|雷尔伟|301016|机械设备|一级行业|申万行业分类|
|申菱环境|301018|机械设备|一级行业|申万行业分类|
|英诺激光|301021|机械设备|一级行业|申万行业分类|
|鼎熔岩|301028|机械设备|一级行业|申万行业分类|
|怡合达|301029|机械设备|一级行业|申万行业分类|
|新柴股份|301032|机械设备|一级行业|申万行业分类|
|绿岛风|301043|机械设备|一级行业|申万行业分类|
|金鹰重工|301048|机械设备|一级行业|申万行业分类|
|远信工业|301053|机械设备|一级行业|申万行业分类|
|森赫股份|301056|机械设备|一级行业|申万行业分类|
|海锅股份|301063|机械设备|一级行业|申万行业分类|
|开勒股份|301070|机械设备|一级行业|申万行业分类|
|邵阳液压|301079|机械设备|一级行业|申万行业分类|
|百胜智能|301083|机械设备|一级行业|申万行业分类|
|鸿铭股份|301105|机械设备|一级行业|申万行业分类|
|瑜欣电子|301107|机械设备|一级行业|申万行业分类|
|信邦智能|301112|机械设备|一级行业|申万行业分类|
|腾亚精工|301125|机械设备|一级行业|申万行业分类|
|强瑞技术|301128|机械设备|一级行业|申万行业分类|
|瑞纳智能|301129|机械设备|一级行业|申万行业分类|
|哈焊华通|301137|机械设备|一级行业|申万行业分类|
|华研精机|301138|机械设备|一级行业|申万行业分类|
|冠龙节能|301151|机械设备|一级行业|申万行业分类|
|德石股份|301158|机械设备|一级行业|申万行业分类|
|翔楼新材|301160|机械设备|一级行业|申万行业分类|
|唯万密封|301161|机械设备|一级行业|申万行业分类|
|工大科雅|301197|机械设备|一级行业|申万行业分类|
|迈赫股份|301199|机械设备|一级行业|申万行业分类|
|大族数控|301200|机械设备|一级行业|申万行业分类|
|通力科技|301255|机械设备|一级行业|申万行业分类|
|格力博|301260|机械设备|一级行业|申万行业分类|
|恒工精密|301261|机械设备|一级行业|申万行业分类|
|铭利达|301268|机械设备|一级行业|申万行业分类|
|英华特|301272|机械设备|一级行业|申万行业分类|
|瑞晨环保|301273|机械设备|一级行业|申万行业分类|
|金道科技|301279|机械设备|一级行业|申万行业分类|
|真兰仪表|301303|机械设备|一级行业|申万行业分类|
|美利信|301307|机械设备|一级行业|申万行业分类|
|万得凯|301309|机械设备|一级行业|申万行业分类|
|昆船智能|301311|机械设备|一级行业|申万行业分类|
|智立方|301312|机械设备|一级行业|申万行业分类|
|鑫磊股份|301317|机械设备|一级行业|申万行业分类|
|豪江智能|301320|机械设备|一级行业|申万行业分类|
|凯格精机|301338|机械设备|一级行业|申万行业分类|
|普莱得|301353|机械设备|一级行业|申万行业分类|
|荣旗科技|301360|机械设备|一级行业|申万行业分类|
|丰立智能|301368|机械设备|一级行业|申万行业分类|
|鼎泰高科|301377|机械设备|一级行业|申万行业分类|
|汇成真空|301392|机械设备|一级行业|申万行业分类|
|英特科技|301399|机械设备|一级行业|申万行业分类|
|安培龙|301413|机械设备|一级行业|申万行业分类|
|协昌科技|301418|机械设备|一级行业|申万行业分类|
|福事特|301446|机械设备|一级行业|申万行业分类|
|开创电气|301448|机械设备|一级行业|申万行业分类|
|博盈特焊|301468|机械设备|一级行业|申万行业分类|
|固高科技|301510|机械设备|一级行业|申万行业分类|
|智信精密|301512|机械设备|一级行业|申万行业分类|
|儒竞科技|301525|机械设备|一级行业|申万行业分类|
|多浦乐|301528|机械设备|一级行业|申万行业分类|
|威马农机|301533|机械设备|一级行业|申万行业分类|
|崇德科技|301548|机械设备|一级行业|申万行业分类|
|中集环科|301559|机械设备|一级行业|申万行业分类|
|思泰克|301568|机械设备|一级行业|申万行业分类|
|瑞迪智驱|301596|机械设备|一级行业|申万行业分类|
|博科测试|301598|机械设备|一级行业|申万行业分类|
|惠通科技|301601|机械设备|一级行业|申万行业分类|
|乔锋智能|301603|机械设备|一级行业|申万行业分类|
|浙江华业|301616|机械设备|一级行业|申万行业分类|
|港迪技术|301633|机械设备|一级行业|申万行业分类|
|欣兴工具|301677|机械设备|一级行业|申万行业分类|
|C电科思|301689|机械设备|一级行业|申万行业分类|
|安控科技|430030|机械设备|一级行业|申万行业分类|
|康斯特|430040|机械设备|一级行业|申万行业分类|
|三一重工|600031|机械设备|一级行业|申万行业分类|
|东睦股份|600114|机械设备|一级行业|申万行业分类|
|ST太重|600169|机械设备|一级行业|申万行业分类|
|黄河旋风|600172|机械设备|一级行业|申万行业分类|
|哈空调|600202|机械设备|一级行业|申万行业分类|
|派斯林|600215|机械设备|一级行业|申万行业分类|
|金鹰股份|600232|机械设备|一级行业|申万行业分类|
|*ST海华|600243|机械设备|一级行业|申万行业分类|
|北方股份|600262|机械设备|一级行业|申万行业分类|
|ST标准|600302|机械设备|一级行业|申万行业分类|
|振华重工|600320|机械设备|一级行业|申万行业分类|
|航天动力|600343|机械设备|一级行业|申万行业分类|
|江钨装备|600397|机械设备|一级行业|申万行业分类|
