vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,申万汽车行业成分股,1,行业成分股,,,"|股票名称|股票代码|行业名称|行业级别|行业类别|
|双英集团|920059|汽车|一级行业|申万行业分类|
|乔路铭|920079|汽车|一级行业|申万行业分类|
|科马材料|920086|汽车|一级行业|申万行业分类|
|林泰新材|920106|汽车|一级行业|申万行业分类|
|永励精密|920136|汽车|一级行业|申万行业分类|
|华阳变速|920146|汽车|一级行业|申万行业分类|
|通宝光电|920168|汽车|一级行业|申万行业分类|
|通领科技|920187|汽车|一级行业|申万行业分类|
|三祥科技|920195|汽车|一级行业|申万行业分类|
|朗信电气|920220|汽车|一级行业|申万行业分类|
|易实精密|920221|汽车|一级行业|申万行业分类|
|建邦科技|920242|汽车|一级行业|申万行业分类|
|华密新材|920247|汽车|一级行业|申万行业分类|
|杰锋动力|920269|汽车|一级行业|申万行业分类|
|天铭科技|920270|汽车|一级行业|申万行业分类|
|邦德股份|920271|汽车|一级行业|申万行业分类|
|泰德股份|920378|汽车|一级行业|申万行业分类|
|苏轴股份|920418|汽车|一级行业|申万行业分类|
|大地电气|920436|汽车|一级行业|申万行业分类|
|同心传动|920454|汽车|一级行业|申万行业分类|
|骏创科技|920533|汽车|一级行业|申万行业分类|
|明阳科技|920663|汽车|一级行业|申万行业分类|
|捷众科技|920690|汽车|一级行业|申万行业分类|
|华原股份|920837|汽车|一级行业|申万行业分类|
|派特尔|920871|汽车|一级行业|申万行业分类|
|旺成科技|920896|汽车|一级行业|申万行业分类|
|舜宇精工|920906|汽车|一级行业|申万行业分类|
|开特股份|920978|汽车|一级行业|申万行业分类|",2026-09-13T09:02:12.870330+08:00
