code_qlib,code_gildata,name,sw_l1
SH600426,600426.SH,华鲁恒升,基础化工
SH600428,600428.SH,中远海特,交通运输
SH600429,600429.SH,三元股份,食品饮料
SH600433,600433.SH,冠豪高新,轻工制造
SH600435,600435.SH,北方导航,国防军工
SH600436,600436.SH,片仔癀,医药生物
SH600438,600438.SH,通威股份,电力设备
SH600439,600439.SH,ST瑞贝卡,纺织服饰
SH600444,600444.SH,国机通用,机械设备
SH600446,600446.SH,金证股份,计算机
SH600448,600448.SH,华纺股份,纺织服饰
SH600449,600449.SH,宁夏建材,建筑材料
SH600452,600452.SH,涪陵电力,公用事业
SH600455,600455.SH,博通股份,计算机
SH600456,600456.SH,宝钛股份,有色金属
SH600458,600458.SH,时代新材,综合
SH600459,600459.SH,贵研铂业,有色金属
SH600460,600460.SH,士兰微,电子
SH600461,600461.SH,洪城环境,环保
SH600463,600463.SH,空港股份,房地产
SH600467,600467.SH,好当家,农林牧渔
SH600468,600468.SH,百利电气,电力设备
SH600469,600469.SH,风神股份,汽车
SH600470,600470.SH,六国化工,基础化工
SH600475,600475.SH,华光环能,公用事业
SH600476,600476.SH,*ST湘邮,计算机
SH600477,600477.SH,杭萧钢构,建筑装饰
SH600478,600478.SH,科力远,电力设备
SH600479,600479.SH,千金药业,医药生物
SH600480,600480.SH,凌云股份,汽车
SH600481,600481.SH,双良节能,电力设备
SH600482,600482.SH,中国动力,电力设备
SH600483,600483.SH,福能股份,公用事业
SH600486,600486.SH,扬农化工,基础化工
SH600487,600487.SH,亨通光电,通信
SH600488,600488.SH,津药药业,医药生物
SH600489,600489.SH,中金黄金,有色金属
SH600490,600490.SH,鹏欣资源,有色金属
SH600491,600491.SH,ST龙元,建筑装饰
SH600493,600493.SH,凤竹纺织,纺织服饰
SH600495,600495.SH,晋西车轴,机械设备
SH600496,600496.SH,精工钢构,建筑装饰
SH600497,600497.SH,驰宏锌锗,有色金属
SH600498,600498.SH,烽火通信,通信
SH600499,600499.SH,科达制造,机械设备
SH600500,600500.SH,中化国际,基础化工
SH600501,600501.SH,航天晨光,机械设备
SH600502,600502.SH,安徽建工,建筑装饰
SH600503,600503.SH,华丽家族,房地产
SH600505,600505.SH,西昌电力,公用事业
SH600506,600506.SH,统一股份,石油石化
SH600507,600507.SH,方大特钢,钢铁
SH600508,600508.SH,上海能源,煤炭
SH600509,600509.SH,天富能源,公用事业
SH600510,600510.SH,黑牡丹,房地产
SH600511,600511.SH,国药股份,医药生物
SH600512,600512.SH,腾达建设,建筑装饰
SH600513,600513.SH,联环药业,医药生物
SH600515,600515.SH,海南机场,房地产
SH600516,600516.SH,方大炭素,钢铁
SH600517,600517.SH,国网英大,非银金融
SH600518,600518.SH,康美药业,医药生物
SH600519,600519.SH,贵州茅台,食品饮料
SH600520,600520.SH,三佳科技,机械设备
SH600521,600521.SH,华海药业,医药生物
SH600522,600522.SH,中天科技,通信
SH600523,600523.SH,贵航股份,汽车
SH600525,600525.SH,长园集团,电力设备
SH600526,600526.SH,菲达环保,环保
SH600527,600527.SH,江南高纤,纺织服饰
SH600528,600528.SH,中铁工业,机械设备
SH600529,600529.SH,山东药玻,医药生物
SH600530,600530.SH,ST交昂,食品饮料
SH600531,600531.SH,豫光金铅,有色金属
SH600533,600533.SH,栖霞建设,房地产
SH600535,600535.SH,天士力,医药生物
SH600536,600536.SH,中国软件,计算机
SH600537,600537.SH,*ST亿晶,电力设备
SH600538,600538.SH,国发股份,医药生物
SH600539,600539.SH,狮头股份,商贸零售
SH600540,600540.SH,新赛股份,农林牧渔
SH600543,600543.SH,*ST莫高,食品饮料
SH600545,600545.SH,卓郎智能,机械设备
SH600546,600546.SH,山煤国际,煤炭
SH600547,600547.SH,山东黄金,有色金属
SH600548,600548.SH,深高速,交通运输
SH600549,600549.SH,厦门钨业,有色金属
SH600550,600550.SH,保变电气,电力设备
SH600551,600551.SH,时代出版,传媒
SH600552,600552.SH,凯盛科技,电子
SH600556,600556.SH,天下秀,传媒
SH600557,600557.SH,康缘药业,医药生物
SH600558,600558.SH,大西洋,机械设备
SH600559,600559.SH,老白干酒,食品饮料
SH600560,600560.SH,金自天正,机械设备
SH600561,600561.SH,江西长运,交通运输
SH600562,600562.SH,国睿科技,国防军工
SH600563,600563.SH,法拉电子,电子
SH600566,600566.SH,济川药业,医药生物
SH600567,600567.SH,山鹰国际,轻工制造
SH600568,600568.SH,ST中珠,医药生物
SH600569,600569.SH,安阳钢铁,钢铁
SH600570,600570.SH,恒生电子,计算机
SH600571,600571.SH,信雅达,计算机
SH600572,600572.SH,康恩贝,医药生物
SH600573,600573.SH,惠泉啤酒,食品饮料
SH600575,600575.SH,淮河能源,公用事业
SH600576,600576.SH,祥源文旅,社会服务
SH600577,600577.SH,精达股份,电力设备
SH600578,600578.SH,京能电力,公用事业
SH600579,600579.SH,中化装备,机械设备
SH600580,600580.SH,卧龙电驱,电力设备
SH600581,600581.SH,*ST八钢,钢铁
SH600582,600582.SH,天地科技,机械设备
SH600583,600583.SH,海油工程,石油石化
SH600584,600584.SH,长电科技,电子
SH600585,600585.SH,海螺水泥,建筑材料
SH600586,600586.SH,金晶科技,建筑材料
SH600587,600587.SH,新华医疗,医药生物
SH600588,600588.SH,用友网络,计算机
SH600589,600589.SH,大位科技,计算机
SH600590,600590.SH,泰豪科技,电力设备
SH600592,600592.SH,龙溪股份,机械设备
SH600593,600593.SH,大连圣亚,社会服务
