code_qlib,code_gildata,name,sw_l1
SH600759,600759.SH,ST洲际,石油石化
SH600760,600760.SH,中航沈飞,国防军工
SH600761,600761.SH,安徽合力,机械设备
SH600763,600763.SH,通策医疗,医药生物
SH600764,600764.SH,中国海防,国防军工
SH600765,600765.SH,中航重机,国防军工
SH600768,600768.SH,富邦新材,有色金属
SH600769,600769.SH,祥龙电业,环保
SH600770,600770.SH,综艺股份,综合
SH600771,600771.SH,广誉远,医药生物
SH600773,600773.SH,西藏城投,房地产
SH600774,600774.SH,汉商集团,医药生物
SH600775,600775.SH,南京熊猫,通信
SH600776,600776.SH,东方通信,通信
SH600777,600777.SH,新潮能源,石油石化
SH600778,600778.SH,友好集团,商贸零售
SH600779,600779.SH,水井坊,食品饮料
SH600780,600780.SH,通宝能源,公用事业
SH600782,600782.SH,新钢股份,钢铁
SH600783,600783.SH,鲁信创投,机械设备
SH600784,600784.SH,鲁银投资,基础化工
SH600785,600785.SH,新华百货,商贸零售
SH600787,600787.SH,中储股份,交通运输
SH600789,600789.SH,鲁抗医药,医药生物
SH600790,600790.SH,轻纺城,商贸零售
SH600791,600791.SH,京能置业,房地产
SH600792,600792.SH,云煤能源,煤炭
SH600793,600793.SH,宜宾纸业,轻工制造
SH600794,600794.SH,保税科技,交通运输
SH600795,600795.SH,国电电力,公用事业
SH600796,600796.SH,钱江生化,环保
SH600797,600797.SH,浙大网新,计算机
SH600798,600798.SH,宁波海运,交通运输
SH600800,600800.SH,渤海化学,石油石化
SH600801,600801.SH,华新建材,建筑材料
SH600802,600802.SH,福建水泥,建筑材料
SH600803,600803.SH,新奥股份,公用事业
SH600805,600805.SH,悦达投资,综合
SH600807,600807.SH,济高发展,综合
SH600808,600808.SH,马钢股份,钢铁
SH600809,600809.SH,山西汾酒,食品饮料
SH600810,600810.SH,神马股份,基础化工
SH600812,600812.SH,华北制药,医药生物
SH600814,600814.SH,杭州解百,商贸零售
SH600815,600815.SH,厦工股份,机械设备
SH600816,600816.SH,建元信托,非银金融
SH600817,600817.SH,宇通重工,环保
SH600818,600818.SH,ST中路,汽车
SH600819,600819.SH,耀皮玻璃,建筑材料
SH600820,600820.SH,隧道股份,建筑装饰
SH600821,600821.SH,金开新能,公用事业
SH600822,600822.SH,上海物贸,汽车
SH600824,600824.SH,益民集团,商贸零售
SH600825,600825.SH,新华传媒,传媒
SH600826,600826.SH,兰生股份,社会服务
SH600827,600827.SH,百联股份,商贸零售
SH600828,600828.SH,茂业商业,商贸零售
SH600829,600829.SH,人民同泰,医药生物
SH600830,600830.SH,香溢融通,非银金融
SH600831,600831.SH,广电网络,传媒
SH600833,600833.SH,第一医药,医药生物
SH600834,600834.SH,申通地铁,交通运输
SH600835,600835.SH,上海机电,机械设备
SH600838,600838.SH,上海九百,商贸零售
