code_gildata,name,wind_sw_l1
001337.SZ,四川黄金,有色金属
001338.SZ,永顺泰,农林牧渔
001339.SZ,智微智能,计算机
001356.SZ,富岭股份,轻工制造
001358.SZ,兴欣新材,基础化工
001359.SZ,平安电工,基础化工
001360.SZ,南矿集团,机械设备
001365.SZ,天海电子,汽车
001366.SZ,播恩集团,农林牧渔
001367.SZ,海森药业,医药生物
001368.SZ,通达创智,轻工制造
001369.SZ,双欣材料,基础化工
001373.SZ,翔腾新材,电子
001376.SZ,百通能源,公用事业
001378.SZ,德冠新材,基础化工
001379.SZ,腾达科技,机械设备
001380.SZ,华纬科技,汽车
001382.SZ,新亚电缆,电力设备
001386.SZ,马可波罗,轻工制造
001387.SZ,雪祺电气,家用电器
001388.SZ,信通电子,电力设备
001389.SZ,广合科技,电子
001390.SZ,古麒绒材,纺织服饰
001391.SZ,国货航,交通运输
001393.SZ,维通利,电力设备
001395.SZ,亚联机械,机械设备
001396.SZ,誉帆科技,建筑装饰
001399.SZ,惠科股份,电子
001400.SZ,江顺科技,机械设备
001696.SZ,宗申动力,机械设备
001872.SZ,招商港口,交通运输
001896.SZ,豫能控股,公用事业
001914.SZ,招商积余,房地产
001965.SZ,招商公路,交通运输
001979.SZ,招商蛇口,房地产
002001.SZ,新和成,基础化工
002003.SZ,伟星股份,纺织服饰
002004.SZ,华邦健康,医药生物
002005.SZ,德豪润达,家用电器
002006.SZ,精工科技,机械设备
002007.SZ,华兰生物,医药生物
002008.SZ,大族激光,机械设备
002009.SZ,天奇股份,机械设备
002010.SZ,传化智联,交通运输
002011.SZ,盾安环境,家用电器
002012.SZ,凯恩股份,轻工制造
002014.SZ,永新股份,轻工制造
002015.SZ,协鑫能科,公用事业
002016.SZ,世荣兆业,房地产
002017.SZ,东信和平,通信
002019.SZ,亿帆医药,医药生物
002020.SZ,京新药业,医药生物
002021.SZ,中捷资源,机械设备
002022.SZ,科华生物,医药生物
002023.SZ,海特高新,国防军工
002024.SZ,ST易购,商贸零售
002025.SZ,航天电器,国防军工
002026.SZ,山东威达,机械设备
002027.SZ,分众传媒,传媒
002028.SZ,思源电气,电力设备
002029.SZ,七匹狼,纺织服饰
002030.SZ,达安基因,医药生物
002031.SZ,巨轮智能,机械设备
002032.SZ,苏泊尔,家用电器
002033.SZ,丽江股份,社会服务
002034.SZ,旺能环境,环保
002035.SZ,华帝股份,家用电器
002036.SZ,联创电子,电子
002037.SZ,保利联合,基础化工
002038.SZ,双鹭药业,医药生物
002039.SZ,黔源电力,公用事业
002040.SZ,南京港,交通运输
002041.SZ,登海种业,农林牧渔
002042.SZ,华孚时尚,纺织服饰
002043.SZ,兔宝宝,建筑材料
002044.SZ,美年健康,医药生物
002045.SZ,国光电器,电子
002046.SZ,国机精工,机械设备
002047.SZ,宝鹰股份,建筑装饰
002048.SZ,宁波华翔,汽车
002049.SZ,紫光国微,电子
002050.SZ,三花智控,家用电器
002051.SZ,中工国际,建筑装饰
002052.SZ,同洲电子,电力设备
002053.SZ,云南能投,公用事业
002054.SZ,德美化工,基础化工
002055.SZ,ST得润,电子
002056.SZ,横店东磁,电力设备
002057.SZ,中钢天源,社会服务
002058.SZ,紫竹高科,电力设备
002059.SZ,云南旅游,社会服务
002060.SZ,广东建工,建筑装饰
002061.SZ,浙江交科,建筑装饰
002062.SZ,宏润建设,建筑装饰
002063.SZ,远光软件,计算机
002064.SZ,华峰化学,基础化工
002065.SZ,东华软件,计算机
002066.SZ,瑞泰科技,建筑材料
002067.SZ,景兴纸业,轻工制造
002068.SZ,黑猫股份,基础化工
002069.SZ,獐子岛,农林牧渔
002072.SZ,凯瑞德,商贸零售
002073.SZ,软控股份,机械设备
002074.SZ,国轩高科,电力设备
002075.SZ,沙钢股份,钢铁
002076.SZ,星光股份,家用电器
002077.SZ,大港股份,电子
002078.SZ,太阳纸业,轻工制造
002079.SZ,苏州固锝,电力设备
002080.SZ,中材科技,建筑材料
002081.SZ,金螳螂,建筑装饰
002082.SZ,ST万邦,医药生物
002083.SZ,孚日股份,纺织服饰
002084.SZ,海鸥住工,轻工制造
002085.SZ,万丰奥威,汽车
002086.SZ,东方海洋,农林牧渔
002088.SZ,鲁阳节能,建筑材料
002090.SZ,金智科技,电力设备
002091.SZ,江苏国泰,商贸零售
002092.SZ,中泰化学,基础化工
002093.SZ,国脉科技,社会服务
002094.SZ,青岛金王,美容护理
002095.SZ,生意宝,传媒
002096.SZ,易普力,基础化工
002097.SZ,山河智能,机械设备
002098.SZ,浔兴股份,纺织服饰
002099.SZ,海翔药业,医药生物
002100.SZ,天康生物,农林牧渔
002101.SZ,广东鸿图,汽车
002102.SZ,ST能特,医药生物
002103.SZ,广博股份,轻工制造
002104.SZ,恒宝股份,通信
002105.SZ,信隆健康,汽车
002106.SZ,莱宝高科,电子
002107.SZ,沃华医药,医药生物
002108.SZ,沧州明珠,基础化工
002109.SZ,ST兴化,基础化工
002110.SZ,三钢闽光,钢铁
002111.SZ,威海广泰,国防军工
002112.SZ,三变科技,电力设备
002114.SZ,罗平锌电,有色金属
002115.SZ,三维通信,通信
002116.SZ,中国海诚,建筑装饰
002117.SZ,东港股份,轻工制造
002119.SZ,康强电子,电子
002120.SZ,韵达股份,交通运输
002121.SZ,科陆电子,电力设备
002122.SZ,ST汇洲,机械设备
002123.SZ,梦网科技,通信
002124.SZ,天邦食品,农林牧渔
002125.SZ,湘潭电化,电力设备
002126.SZ,银轮股份,汽车
002127.SZ,南极电商,商贸零售
002128.SZ,电投能源,煤炭
002129.SZ,TCL中环,电力设备
002130.SZ,沃尔核材,电子
002131.SZ,利欧股份,机械设备
002132.SZ,恒星科技,机械设备
002133.SZ,广宇集团,房地产
002134.SZ,天津普林,电子
002135.SZ,东南网架,建筑装饰
002136.SZ,安纳达,基础化工
002137.SZ,实益达,电子
002138.SZ,顺络电子,电子
002139.SZ,拓邦股份,电子
002140.SZ,东华科技,建筑装饰
002141.SZ,贤丰控股,电子
002142.SZ,宁波银行,银行
002144.SZ,宏达高科,纺织服饰
002145.SZ,钛能化学,基础化工
002146.SZ,荣盛发展,房地产
002148.SZ,北纬科技,通信
002149.SZ,西部材料,有色金属
002150.SZ,正泰电源,电力设备
002151.SZ,北斗星通,国防军工
002152.SZ,广电运通,计算机
002153.SZ,石基信息,计算机
002154.SZ,报喜鸟,纺织服饰
002155.SZ,湖南黄金,有色金属
002156.SZ,通富微电,电子
002157.SZ,正邦科技,农林牧渔
002158.SZ,汉钟精机,机械设备
002159.SZ,三特索道,社会服务
002160.SZ,常铝股份,有色金属
002161.SZ,远望谷,电子
002162.SZ,悦心健康,轻工制造
002163.SZ,海南发展,建筑装饰
002164.SZ,宁波东力,机械设备
002165.SZ,红宝丽,基础化工
002166.SZ,莱茵生物,基础化工
002167.SZ,东方锆业,有色金属
002168.SZ,ST惠程,电力设备
002169.SZ,智光电气,电力设备
002170.SZ,芭田股份,基础化工
002171.SZ,楚江新材,有色金属
002172.SZ,澳洋健康,医药生物
002173.SZ,创新医疗,医药生物
002174.SZ,游族网络,传媒
